title,description,category,resolution,priority
Problem with the server connection keeps timing out,Can someone help me resolve this? the server connection keeps timing out.,Infrastructure,Check server health and review the infrastructure logs.,High
The software freezes whenever i use it,"I have been trying to fix this, but the software freezes whenever I use it.",Application,Check the application logs and install the latest available update.,Medium
Unable to resolve: remote access to the company network is not working,This started happening today: remote access to the company network is not working.,Network,Restart the VPN client and verify the network connection.,Low
Support required: the business application keeps crashing,This issue is preventing me from working: the business application keeps crashing.,Application,Verify the application configuration and escalate to application support if required.,High
Issue reported: the network connection keeps failing,"I have been trying to fix this, but the network connection keeps failing.",Network,Verify VPN settings and escalate to network support if required.,High
I forgot my password,I need assistance with this problem: I forgot my password.,Access Management,Unlock the account and confirm the user's permissions.,High
Issue reported: the infrastructure service is extremely slow,I need assistance with this problem: the infrastructure service is extremely slow.,Infrastructure,Verify server availability and restart the affected service if required.,Low
Unable to resolve: new files cannot be saved because storage is full,I am having trouble because new files cannot be saved because storage is full.,Storage,Verify storage connectivity and available disk capacity.,Low
Issue reported: i received an email that looks like a phishing attempt,I need technical support because I received an email that looks like a phishing attempt.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
Problem with the company server is not responding,"I have been trying to fix this, but the company server is not responding.",Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,High
My device is showing signs of malicious activity,I need assistance with this problem: my device is showing signs of malicious activity.,Security,Report the suspicious activity to the security team immediately.,Low
I accidentally clicked a suspicious link,I am unable to continue my work because I accidentally clicked a suspicious link.,Security,Report the suspicious activity to the security team immediately.,Medium
I noticed a suspicious login on my account,Our team is facing the following issue: I noticed a suspicious login on my account.,Security,Report the suspicious activity to the security team immediately.,Medium
The corporate network is unreachable,Our team is facing the following issue: the corporate network is unreachable.,Network,Check network connectivity and restart the network adapter.,High
Support required: i cannot access the company network,I am unable to continue my work because I cannot access the company network.,Network,Restart the VPN client and verify the network connection.,Low
Support required: my account is locked,Can someone help me resolve this? my account is locked.,Access Management,Reset the password and verify account access.,Low
Support required: the company vpn is not connecting,I am unable to continue my work because the company VPN is not connecting.,Network,Check network connectivity and restart the network adapter.,Medium
Unable to resolve: the vpn connection keeps dropping,I would like to report a problem where the VPN connection keeps dropping.,Network,Verify VPN settings and escalate to network support if required.,Medium
Issue reported: the database server is not responding,This started happening today: the database server is not responding.,Database,Check database permissions and escalate to database support if required.,Medium
The database connection drops unexpectedly,I need assistance with this problem: the database connection drops unexpectedly.,Database,Check database connectivity and review the database server logs.,Medium
Problem with my existing account does not have the required access,Please help me. my existing account does not have the required access.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Problem with storage capacity has been exhausted,This issue is preventing me from working: storage capacity has been exhausted.,Storage,Check storage permissions and escalate to storage support if needed.,High
Support required: the company vpn is not connecting,This started happening today: the company VPN is not connecting.,Network,Verify VPN settings and escalate to network support if required.,High
Problem with i am unable to retrieve information from the database,Can someone help me resolve this? I am unable to retrieve information from the database.,Database,Check database permissions and escalate to database support if required.,Medium
Our application cannot retrieve database records,Can someone help me resolve this? our application cannot retrieve database records.,Database,Check database permissions and escalate to database support if required.,Medium
Issue reported: i need permission to access a company application,I am unable to continue my work because I need permission to access a company application.,Access Management,Unlock the account and confirm the user's permissions.,Medium
Issue reported: someone may have accessed my account without permission,I am unable to continue my work because someone may have accessed my account without permission.,Security,"Secure the account, change the password, and contact Security Operations.",High
Records are not loading from the database,I need technical support because records are not loading from the database.,Database,Verify database availability and investigate slow-running queries.,Medium
Unable to resolve: i need permission to access a company application,I would like to report a problem where I need permission to access a company application.,Access Management,Unlock the account and confirm the user's permissions.,Medium
Support required: i received a suspicious attachment,"I have been trying to fix this, but I received a suspicious attachment.",Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Support required: the internal system cannot be reached,Please help me. the internal system cannot be reached.,Infrastructure,Verify server availability and restart the affected service if required.,Low
Issue reported: the network connection keeps failing,I need assistance with this problem: the network connection keeps failing.,Network,Restart the VPN client and verify the network connection.,Medium
I cannot log into my company account,"I have been trying to fix this, but I cannot log into my company account.",Access Management,Verify access permissions and escalate to access management if required.,Medium
Issue reported: the application displays an unexpected error,I am unable to continue my work because the application displays an unexpected error.,Application,Check the application logs and install the latest available update.,Medium
Unable to resolve: someone may have accessed my account without permission,This started happening today: someone may have accessed my account without permission.,Security,"Secure the account, change the password, and contact Security Operations.",Low
Unable to resolve: the internal server is unavailable,I am having trouble because the internal server is unavailable.,Infrastructure,Check server health and review the infrastructure logs.,High
Problem with i am concerned about unauthorized activity,"I have been trying to fix this, but I am concerned about unauthorized activity.",Security,Report the suspicious activity to the security team immediately.,Low
Support required: i need permission to access a company application,Please help me. I need permission to access a company application.,Access Management,Reset the password and verify account access.,Medium
Problem with an internal service has stopped working,This issue is preventing me from working: an internal service has stopped working.,Infrastructure,Check server health and review the infrastructure logs.,High
Issue reported: my login credentials are not working,Our team is facing the following issue: my login credentials are not working.,Access Management,Verify access permissions and escalate to access management if required.,Medium
The company vpn is not connecting,Something appears to be wrong because the company VPN is not connecting.,Network,Verify VPN settings and escalate to network support if required.,High
I noticed a suspicious login on my account,"I have been trying to fix this, but I noticed a suspicious login on my account.",Security,Report the suspicious activity to the security team immediately.,Medium
Issue reported: my login credentials are not working,This issue is preventing me from working: my login credentials are not working.,Access Management,Unlock the account and confirm the user's permissions.,Medium
Support required: the database server is not responding,Our team is facing the following issue: the database server is not responding.,Database,Verify database availability and investigate slow-running queries.,Medium
Issue reported: the server connection keeps timing out,I need assistance with this problem: the server connection keeps timing out.,Infrastructure,Verify server availability and restart the affected service if required.,Low
Support required: the corporate network is unreachable,I need assistance with this problem: the corporate network is unreachable.,Network,Restart the VPN client and verify the network connection.,Medium
Issue reported: the database connection drops unexpectedly,Something appears to be wrong because the database connection drops unexpectedly.,Database,Check database permissions and escalate to database support if required.,High
Issue reported: our storage space is nearly full,I am unable to continue my work because our storage space is nearly full.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Unable to resolve: my account has been locked after several login attempts,I need assistance with this problem: my account has been locked after several login attempts.,Access Management,Unlock the account and confirm the user's permissions.,Medium
I am unable to retrieve information from the database,Our team is facing the following issue: I am unable to retrieve information from the database.,Database,Check database permissions and escalate to database support if required.,Low
Problem with records are not loading from the database,I need technical support because records are not loading from the database.,Database,Check database connectivity and review the database server logs.,Low
Issue reported: i am unable to connect to internal network resources,This issue is preventing me from working: I am unable to connect to internal network resources.,Network,Check network connectivity and restart the network adapter.,Low
Support required: one of our business applications is behaving incorrectly,I need technical support because one of our business applications is behaving incorrectly.,Application,Verify the application configuration and escalate to application support if required.,Medium
Our storage space is nearly full,This issue is preventing me from working: our storage space is nearly full.,Storage,Verify storage connectivity and available disk capacity.,Medium
Support required: an internal service has stopped working,Something appears to be wrong because an internal service has stopped working.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Problem with our storage space is nearly full,This started happening today: our storage space is nearly full.,Storage,Verify storage connectivity and available disk capacity.,Medium
The application is extremely slow,"I have been trying to fix this, but the application is extremely slow.",Application,Restart the application and check whether the problem continues.,High
Database performance has suddenly become very slow,Our team is facing the following issue: database performance has suddenly become very slow.,Database,Verify database availability and investigate slow-running queries.,Low
Support required: database queries are taking too long,I am having trouble because database queries are taking too long.,Database,Verify database availability and investigate slow-running queries.,Medium
I need permission to access a company application,Please help me. I need permission to access a company application.,Access Management,Unlock the account and confirm the user's permissions.,Medium
Issue reported: database requests keep timing out,I am unable to continue my work because database requests keep timing out.,Database,Check database permissions and escalate to database support if required.,High
Unable to resolve: the company application suddenly stopped working,I would like to report a problem where the company application suddenly stopped working.,Application,Check the application logs and install the latest available update.,High
I need access to an internal system,I am unable to continue my work because I need access to an internal system.,Access Management,Verify access permissions and escalate to access management if required.,Low
Issue reported: our application cannot retrieve database records,I would like to report a problem where our application cannot retrieve database records.,Database,Check database connectivity and review the database server logs.,Medium
Problem with i cannot access the company database,I am unable to continue my work because I cannot access the company database.,Database,Check database connectivity and review the database server logs.,High
The shared drive is unavailable,I am unable to continue my work because the shared drive is unavailable.,Storage,Check storage permissions and escalate to storage support if needed.,Medium
Problem with i am unable to access files on the shared drive,Can someone help me resolve this? I am unable to access files on the shared drive.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Issue reported: the company-hosted service is not responding,This started happening today: the company-hosted service is not responding.,Infrastructure,Check server health and review the infrastructure logs.,Medium
I cannot complete my work because the application keeps failing,I need technical support because I cannot complete my work because the application keeps failing.,Application,Restart the application and check whether the problem continues.,Medium
Support required: i need my account access restored,Can someone help me resolve this? I need my account access restored.,Access Management,Reset the password and verify account access.,High
Support required: my network connection becomes unstable during work,I need assistance with this problem: my network connection becomes unstable during work.,Network,Verify VPN settings and escalate to network support if required.,Low
One of our business applications is behaving incorrectly,"I have been trying to fix this, but one of our business applications is behaving incorrectly.",Application,Restart the application and check whether the problem continues.,Medium
Storage capacity has been exhausted,Our team is facing the following issue: storage capacity has been exhausted.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Support required: files cannot be uploaded to the storage system,Please help me. files cannot be uploaded to the storage system.,Storage,Check storage permissions and escalate to storage support if needed.,High
Problem with our storage space is nearly full,Can someone help me resolve this? our storage space is nearly full.,Storage,Check available storage and remove unnecessary files if appropriate.,Low
The application displays an unexpected error,"I have been trying to fix this, but the application displays an unexpected error.",Application,Verify the application configuration and escalate to application support if required.,Low
Problem with my existing account does not have the required access,This issue is preventing me from working: my existing account does not have the required access.,Access Management,Verify access permissions and escalate to access management if required.,High
Issue reported: the application is extremely slow,This started happening today: the application is extremely slow.,Application,Restart the application and check whether the problem continues.,High
Issue reported: the office internet connection is very slow,Something appears to be wrong because the office internet connection is very slow.,Network,Check network connectivity and restart the network adapter.,Medium
Issue reported: i cannot access the company database,I am having trouble because I cannot access the company database.,Database,Check database connectivity and review the database server logs.,Medium
Unable to resolve: the internal system cannot be reached,Please help me. the internal system cannot be reached.,Infrastructure,Check server health and review the infrastructure logs.,Low
The disk is running out of space,I need assistance with this problem: the disk is running out of space.,Storage,Check storage permissions and escalate to storage support if needed.,High
Unable to resolve: my computer may have malware,I need assistance with this problem: my computer may have malware.,Security,Report the suspicious activity to the security team immediately.,Low
Unable to resolve: i cannot log into my company account,I need assistance with this problem: I cannot log into my company account.,Access Management,Reset the password and verify account access.,Medium
Unable to resolve: records are not loading from the database,I am unable to continue my work because records are not loading from the database.,Database,Check database permissions and escalate to database support if required.,Medium
Unable to resolve: i am concerned about unauthorized activity,Can someone help me resolve this? I am concerned about unauthorized activity.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Problem with the application will not open,I am unable to continue my work because the application will not open.,Application,Restart the application and check whether the problem continues.,High
Support required: the office internet connection is very slow,Our team is facing the following issue: the office internet connection is very slow.,Network,Verify VPN settings and escalate to network support if required.,High
Problem with our storage space is nearly full,"I have been trying to fix this, but our storage space is nearly full.",Storage,Check available storage and remove unnecessary files if appropriate.,Medium
I need my account access restored,I would like to report a problem where I need my account access restored.,Access Management,Verify access permissions and escalate to access management if required.,High
The network connection keeps failing,This issue is preventing me from working: the network connection keeps failing.,Network,Verify VPN settings and escalate to network support if required.,Medium
Issue reported: the company server is not responding,Something appears to be wrong because the company server is not responding.,Infrastructure,Verify server availability and restart the affected service if required.,High
I am unable to access files on the shared drive,Please help me. I am unable to access files on the shared drive.,Storage,Check storage permissions and escalate to storage support if needed.,Low
Support required: i cannot access the company network,"I have been trying to fix this, but I cannot access the company network.",Network,Check network connectivity and restart the network adapter.,Medium
Problem with remote access to the company network is not working,Something appears to be wrong because remote access to the company network is not working.,Network,Restart the VPN client and verify the network connection.,Medium
Problem with my account has been locked after several login attempts,I would like to report a problem where my account has been locked after several login attempts.,Access Management,Reset the password and verify account access.,Medium
Support required: i cannot access the company network,I am unable to continue my work because I cannot access the company network.,Network,Check network connectivity and restart the network adapter.,High
Support required: i am concerned about unauthorized activity,I need assistance with this problem: I am concerned about unauthorized activity.,Security,Report the suspicious activity to the security team immediately.,High
Support required: database requests keep timing out,This issue is preventing me from working: database requests keep timing out.,Database,Check database permissions and escalate to database support if required.,High
I am unable to connect to internal network resources,Our team is facing the following issue: I am unable to connect to internal network resources.,Network,Check network connectivity and restart the network adapter.,Medium
Problem with i need access to an internal system,Can someone help me resolve this? I need access to an internal system.,Access Management,Unlock the account and confirm the user's permissions.,Medium
Issue reported: i am concerned about unauthorized activity,Something appears to be wrong because I am concerned about unauthorized activity.,Security,"Secure the account, change the password, and contact Security Operations.",Low
Issue reported: i think my account may have been compromised,Something appears to be wrong because I think my account may have been compromised.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
The internal server keeps disconnecting,I need assistance with this problem: the internal server keeps disconnecting.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Low
Unable to resolve: records are not loading from the database,Please help me. records are not loading from the database.,Database,Check database connectivity and review the database server logs.,Low
Support required: my device is showing signs of malicious activity,I need assistance with this problem: my device is showing signs of malicious activity.,Security,"Secure the account, change the password, and contact Security Operations.",Low
My account is locked,I am unable to continue my work because my account is locked.,Access Management,Unlock the account and confirm the user's permissions.,Low
Issue reported: the server became unavailable during work,This started happening today: the server became unavailable during work.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Problem with i think my account may have been compromised,Something appears to be wrong because I think my account may have been compromised.,Security,Report the suspicious activity to the security team immediately.,Medium
Issue reported: i noticed a suspicious login on my account,Our team is facing the following issue: I noticed a suspicious login on my account.,Security,Report the suspicious activity to the security team immediately.,Medium
Unable to resolve: the disk is running out of space,This issue is preventing me from working: the disk is running out of space.,Storage,Verify storage connectivity and available disk capacity.,Medium
Issue reported: the application becomes unresponsive,I need assistance with this problem: the application becomes unresponsive.,Application,Restart the application and check whether the problem continues.,Medium
Issue reported: new files cannot be saved because storage is full,I need assistance with this problem: new files cannot be saved because storage is full.,Storage,Verify storage connectivity and available disk capacity.,Medium
Unable to resolve: the shared drive is unavailable,I need technical support because the shared drive is unavailable.,Storage,Check storage permissions and escalate to storage support if needed.,Medium
Support required: new files cannot be saved because storage is full,Please help me. new files cannot be saved because storage is full.,Storage,Check storage permissions and escalate to storage support if needed.,High
Files cannot be uploaded to the storage system,This started happening today: files cannot be uploaded to the storage system.,Storage,Check available storage and remove unnecessary files if appropriate.,High
Support required: i cannot access the company network,I need technical support because I cannot access the company network.,Network,Check network connectivity and restart the network adapter.,High
I am concerned about unauthorized activity,This issue is preventing me from working: I am concerned about unauthorized activity.,Security,Report the suspicious activity to the security team immediately.,High
The shared storage is almost full,This started happening today: the shared storage is almost full.,Storage,Verify storage connectivity and available disk capacity.,Medium
Unable to resolve: the shared storage is almost full,"I have been trying to fix this, but the shared storage is almost full.",Storage,Check storage permissions and escalate to storage support if needed.,High
Support required: database requests keep timing out,Our team is facing the following issue: database requests keep timing out.,Database,Check database permissions and escalate to database support if required.,High
Support required: the business application keeps crashing,I am having trouble because the business application keeps crashing.,Application,Restart the application and check whether the problem continues.,Medium
Issue reported: i am unable to retrieve information from the database,Please help me. I am unable to retrieve information from the database.,Database,Verify database availability and investigate slow-running queries.,Medium
Support required: i am unable to retrieve information from the database,Our team is facing the following issue: I am unable to retrieve information from the database.,Database,Check database connectivity and review the database server logs.,High
Unable to resolve: the internal server keeps disconnecting,Our team is facing the following issue: the internal server keeps disconnecting.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Support required: i cannot log into my company account,I am having trouble because I cannot log into my company account.,Access Management,Unlock the account and confirm the user's permissions.,High
Issue reported: my account is locked,I need technical support because my account is locked.,Access Management,Reset the password and verify account access.,Medium
Database performance has suddenly become very slow,Our team is facing the following issue: database performance has suddenly become very slow.,Database,Verify database availability and investigate slow-running queries.,High
Problem with i received a suspicious attachment,I need technical support because I received a suspicious attachment.,Security,Report the suspicious activity to the security team immediately.,Medium
Support required: the server connection keeps timing out,"I have been trying to fix this, but the server connection keeps timing out.",Infrastructure,Verify server availability and restart the affected service if required.,High
The server became unavailable during work,I am unable to continue my work because the server became unavailable during work.,Infrastructure,Verify server availability and restart the affected service if required.,Low
Problem with storage capacity has been exhausted,Something appears to be wrong because storage capacity has been exhausted.,Storage,Verify storage connectivity and available disk capacity.,Low
Files cannot be uploaded to the storage system,I need technical support because files cannot be uploaded to the storage system.,Storage,Check storage permissions and escalate to storage support if needed.,High
Problem with there is unusual activity on my account,Our team is facing the following issue: there is unusual activity on my account.,Security,Report the suspicious activity to the security team immediately.,Medium
The company vpn is not connecting,I need technical support because the company VPN is not connecting.,Network,Check network connectivity and restart the network adapter.,Medium
Issue reported: an internal service has stopped working,I would like to report a problem where an internal service has stopped working.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Problem with the corporate network is unreachable,I would like to report a problem where the corporate network is unreachable.,Network,Verify VPN settings and escalate to network support if required.,Low
Support required: our application cannot retrieve database records,I am having trouble because our application cannot retrieve database records.,Database,Verify database availability and investigate slow-running queries.,Medium
Problem with a business server is currently offline,"I have been trying to fix this, but a business server is currently offline.",Infrastructure,Check server health and review the infrastructure logs.,High
Support required: i received an email that looks like a phishing attempt,"I have been trying to fix this, but I received an email that looks like a phishing attempt.",Security,Report the suspicious activity to the security team immediately.,Medium
I cannot access the company database,Our team is facing the following issue: I cannot access the company database.,Database,Check database permissions and escalate to database support if required.,Medium
Issue reported: i am unable to retrieve information from the database,"I have been trying to fix this, but I am unable to retrieve information from the database.",Database,Verify database availability and investigate slow-running queries.,Medium
Problem with i received a suspicious attachment,I need technical support because I received a suspicious attachment.,Security,Disconnect the affected device from the network and contact Security Operations.,Medium
Problem with i am unable to sign in with my company credentials,I would like to report a problem where I am unable to sign in with my company credentials.,Access Management,Verify access permissions and escalate to access management if required.,High
Problem with i am unable to connect to internal network resources,Something appears to be wrong because I am unable to connect to internal network resources.,Network,Verify VPN settings and escalate to network support if required.,Medium
Issue reported: i cannot log into my company account,I need technical support because I cannot log into my company account.,Access Management,Reset the password and verify account access.,Medium
Unable to resolve: the software freezes whenever i use it,I would like to report a problem where the software freezes whenever I use it.,Application,Restart the application and check whether the problem continues.,High
Issue reported: the database connection drops unexpectedly,Our team is facing the following issue: the database connection drops unexpectedly.,Database,Check database connectivity and review the database server logs.,High
I cannot save files to the shared drive,I need assistance with this problem: I cannot save files to the shared drive.,Storage,Check available storage and remove unnecessary files if appropriate.,Low
The vpn connection keeps dropping,I would like to report a problem where the VPN connection keeps dropping.,Network,Verify VPN settings and escalate to network support if required.,Medium
Support required: my existing account does not have the required access,I need technical support because my existing account does not have the required access.,Access Management,Reset the password and verify account access.,Medium
Issue reported: i need my account access restored,I am having trouble because I need my account access restored.,Access Management,Verify access permissions and escalate to access management if required.,Low
Unable to resolve: the software freezes whenever i use it,I am unable to continue my work because the software freezes whenever I use it.,Application,Restart the application and check whether the problem continues.,Low
My existing account does not have the required access,This started happening today: my existing account does not have the required access.,Access Management,Verify access permissions and escalate to access management if required.,Medium
Support required: i am unable to access files on the shared drive,This issue is preventing me from working: I am unable to access files on the shared drive.,Storage,Check storage permissions and escalate to storage support if needed.,Medium
Issue reported: i am unable to access files on the shared drive,This issue is preventing me from working: I am unable to access files on the shared drive.,Storage,Check available storage and remove unnecessary files if appropriate.,Low
Support required: the office internet connection is very slow,Please help me. the office internet connection is very slow.,Network,Verify VPN settings and escalate to network support if required.,Medium
Issue reported: the office internet connection is very slow,I am unable to continue my work because the office internet connection is very slow.,Network,Check network connectivity and restart the network adapter.,High
Unable to resolve: the application displays an unexpected error,Please help me. the application displays an unexpected error.,Application,Check the application logs and install the latest available update.,Low
Issue reported: the database connection is failing,Please help me. the database connection is failing.,Database,Check database connectivity and review the database server logs.,Medium
Unable to resolve: i need permission to access a company application,Something appears to be wrong because I need permission to access a company application.,Access Management,Reset the password and verify account access.,Low
Issue reported: database performance has suddenly become very slow,"I have been trying to fix this, but database performance has suddenly become very slow.",Database,Check database connectivity and review the database server logs.,Medium
Issue reported: files cannot be uploaded to the storage system,I am unable to continue my work because files cannot be uploaded to the storage system.,Storage,Verify storage connectivity and available disk capacity.,High
Issue reported: one of our business applications is behaving incorrectly,I am unable to continue my work because one of our business applications is behaving incorrectly.,Application,Verify the application configuration and escalate to application support if required.,Medium
Records are not loading from the database,I am unable to continue my work because records are not loading from the database.,Database,Check database permissions and escalate to database support if required.,Medium
The internal server is unavailable,Something appears to be wrong because the internal server is unavailable.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Problem with the internal system cannot be reached,This issue is preventing me from working: the internal system cannot be reached.,Infrastructure,Verify server availability and restart the affected service if required.,Low
Issue reported: database requests keep timing out,Our team is facing the following issue: database requests keep timing out.,Database,Verify database availability and investigate slow-running queries.,Low
Support required: the company application suddenly stopped working,I am having trouble because the company application suddenly stopped working.,Application,Restart the application and check whether the problem continues.,Medium
Issue reported: the company application suddenly stopped working,I would like to report a problem where the company application suddenly stopped working.,Application,Check the application logs and install the latest available update.,Medium
Problem with database requests keep timing out,I need technical support because database requests keep timing out.,Database,Check database connectivity and review the database server logs.,Medium
Support required: the application is extremely slow,This issue is preventing me from working: the application is extremely slow.,Application,Verify the application configuration and escalate to application support if required.,Low
Unable to resolve: my device is showing signs of malicious activity,Our team is facing the following issue: my device is showing signs of malicious activity.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
Support required: i received a suspicious attachment,This issue is preventing me from working: I received a suspicious attachment.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
Unable to resolve: i need access to an internal system,Something appears to be wrong because I need access to an internal system.,Access Management,Verify access permissions and escalate to access management if required.,Medium
The application is extremely slow,I need assistance with this problem: the application is extremely slow.,Application,Check the application logs and install the latest available update.,High
Unable to resolve: i received a suspicious attachment,I am unable to continue my work because I received a suspicious attachment.,Security,Disconnect the affected device from the network and contact Security Operations.,Low
Problem with there is unusual activity on my account,This issue is preventing me from working: there is unusual activity on my account.,Security,Disconnect the affected device from the network and contact Security Operations.,High
Issue reported: database requests keep timing out,Please help me. database requests keep timing out.,Database,Check database connectivity and review the database server logs.,Low
Problem with i cannot access the company database,I need technical support because I cannot access the company database.,Database,Verify database availability and investigate slow-running queries.,Medium
Support required: the database server is not responding,I am having trouble because the database server is not responding.,Database,Verify database availability and investigate slow-running queries.,Medium
Unable to resolve: i think my account may have been compromised,I would like to report a problem where I think my account may have been compromised.,Security,Disconnect the affected device from the network and contact Security Operations.,Low
Issue reported: i think my account may have been compromised,Please help me. I think my account may have been compromised.,Security,Disconnect the affected device from the network and contact Security Operations.,Low
Unable to resolve: i am unable to connect to internal network resources,This started happening today: I am unable to connect to internal network resources.,Network,Verify VPN settings and escalate to network support if required.,Medium
Problem with i need access to an internal system,This issue is preventing me from working: I need access to an internal system.,Access Management,Unlock the account and confirm the user's permissions.,High
I noticed a suspicious login on my account,Can someone help me resolve this? I noticed a suspicious login on my account.,Security,Report the suspicious activity to the security team immediately.,Low
Issue reported: i cannot save files to the shared drive,This started happening today: I cannot save files to the shared drive.,Storage,Check available storage and remove unnecessary files if appropriate.,Low
Issue reported: records are not loading from the database,This started happening today: records are not loading from the database.,Database,Verify database availability and investigate slow-running queries.,Medium
Support required: files cannot be uploaded to the storage system,I am unable to continue my work because files cannot be uploaded to the storage system.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
The server became unavailable during work,Our team is facing the following issue: the server became unavailable during work.,Infrastructure,Verify server availability and restart the affected service if required.,High
Problem with the shared drive is unavailable,I am unable to continue my work because the shared drive is unavailable.,Storage,Check storage permissions and escalate to storage support if needed.,High
Unable to resolve: the application becomes unresponsive,Please help me. the application becomes unresponsive.,Application,Check the application logs and install the latest available update.,Low
Unable to resolve: the application will not open,Please help me. the application will not open.,Application,Verify the application configuration and escalate to application support if required.,Low
Issue reported: the application closes immediately after opening,I would like to report a problem where the application closes immediately after opening.,Application,Verify the application configuration and escalate to application support if required.,Low
Support required: the system reports insufficient disk space,I am having trouble because the system reports insufficient disk space.,Storage,Verify storage connectivity and available disk capacity.,Low
Problem with there is unusual activity on my account,I am having trouble because there is unusual activity on my account.,Security,Report the suspicious activity to the security team immediately.,Medium
Issue reported: the company server is not responding,This started happening today: the company server is not responding.,Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Medium
Unable to resolve: the internal server keeps disconnecting,I need technical support because the internal server keeps disconnecting.,Infrastructure,Check server health and review the infrastructure logs.,Medium
Problem with i need access to an internal system,This started happening today: I need access to an internal system.,Access Management,Unlock the account and confirm the user's permissions.,High
Issue reported: the shared drive is unavailable,I need assistance with this problem: the shared drive is unavailable.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Problem with the shared drive is unavailable,This started happening today: the shared drive is unavailable.,Storage,Check available storage and remove unnecessary files if appropriate.,Medium
Issue reported: the internal server keeps disconnecting,I am having trouble because the internal server keeps disconnecting.,Infrastructure,Verify server availability and restart the affected service if required.,High
Unable to resolve: database requests keep timing out,I am having trouble because database requests keep timing out.,Database,Check database permissions and escalate to database support if required.,Low
Support required: i accidentally clicked a suspicious link,Please help me. I accidentally clicked a suspicious link.,Security,"Secure the account, change the password, and contact Security Operations.",Medium
Problem with the company application suddenly stopped working,I am having trouble because the company application suddenly stopped working.,Application,Check the application logs and install the latest available update.,Low
Problem with i cannot complete my work because the application keeps failing,I would like to report a problem where I cannot complete my work because the application keeps failing.,Application,Check the application logs and install the latest available update.,Low
Problem with i accidentally clicked a suspicious link,Can someone help me resolve this? I accidentally clicked a suspicious link.,Security,Disconnect the affected device from the network and contact Security Operations.,Low
Support required: the company-hosted service is not responding,Can someone help me resolve this? the company-hosted service is not responding.,Infrastructure,Verify server availability and restart the affected service if required.,Medium
Issue reported: the server became unavailable during work,"I have been trying to fix this, but the server became unavailable during work.",Infrastructure,Check the infrastructure service and escalate to the infrastructure team if necessary.,Low
